Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: momizza_display_price,Meta: momizza_source_section
variation,MOM-FRIES-SPICY-PERI-PERI-FRIES-LARGE,Spicy Peri Peri Fries - Large,1,0,visible,,,taxable,1,159,Fries,Momizza menu,MOM-FRIES-SPICY-PERI-PERI-FRIES,2,Option,Large,1,0,₹159,Fries
variable,MOM-FRIES-CHEESY-SAUCY-FRIES,Cheesy Saucy Fries,1,0,visible,,,taxable,1,,Fries,Momizza menu,,30,Option,"Small, Large",1,0,,Fries
variation,MOM-FRIES-CHEESY-SAUCY-FRIES-SMALL,Cheesy Saucy Fries - Small,1,0,visible,,,taxable,1,109,Fries,Momizza menu,MOM-FRIES-CHEESY-SAUCY-FRIES,1,Option,Small,1,0,₹109,Fries
variation,MOM-FRIES-CHEESY-SAUCY-FRIES-LARGE,Cheesy Saucy Fries - Large,1,0,visible,,,taxable,1,169,Fries,Momizza menu,MOM-FRIES-CHEESY-SAUCY-FRIES,2,Option,Large,1,0,₹169,Fries
simple,MOM-FRIES-MASALA-VEGGI-CRISPORS,Masala Veggi Crispors,1,0,visible,,,taxable,1,109,Fries,Momizza menu,,31,,,,,,Fries
simple,MOM-BAKED-PASTAS-RED-SAUCE-PASTA,Red Sauce Pasta,1,0,visible,,,taxable,1,109,Baked Pastas,Momizza menu,,32,,,,,,Baked Pastas
simple,MOM-BAKED-PASTAS-WHITE-SAUCE-PASTA,White Sauce Pasta,1,0,visible,,,taxable,1,109,Baked Pastas,Momizza menu,,33,,,,,,Baked Pastas
simple,MOM-BAKED-PASTAS-TANDOORI-PASTA,Tandoori Pasta,1,0,visible,,,taxable,1,119,Baked Pastas,Momizza menu,,34,,,,,,Baked Pastas
simple,MOM-BAKED-PASTAS-MAKHANI-PASTA,Makhani Pasta,1,0,visible,,,taxable,1,119,Baked Pastas,Momizza menu,,35,,,,,,Baked Pastas
simple,MOM-BAKED-PASTAS-MOMIZZA-S-SPECIAL-PASTA,Momizza's Special Pasta,1,0,visible,,,taxable,1,129,Baked Pastas,Momizza menu,,36,,,,,,Baked Pastas
simple,MOM-SUBS-SIDES-CHEESY-ZINGY-PARCEL,Cheesy Zingy Parcel,1,0,visible,,,taxable,1,49,Subs & Sides,Momizza menu,,37,,,,,,Subs & Sides
simple,MOM-SUBS-SIDES-PANEER-PARCEL,Paneer Parcel,1,0,visible,,,taxable,1,59,Subs & Sides,Momizza menu,,38,,,,,,Subs & Sides
simple,MOM-SUBS-SIDES-VEGGIES-FINGERS-6-PC,Veggies Fingers (6 Pc),1,0,visible,,,taxable,1,89,Subs & Sides,Momizza menu,,39,,,,,,Subs & Sides
simple,MOM-SUBS-SIDES-MASALA-AMERICAN-CORN,Masala American Corn,1,0,visible,,,taxable,1,89,Subs & Sides,Momizza menu,,40,,,,,,Subs & Sides
simple,MOM-SUBS-SIDES-MIX-SALAD,Mix Salad,1,0,visible,,,taxable,1,119,Subs & Sides,Momizza menu,,41,,,,,,Subs & Sides
simple,MOM-SUBS-SIDES-CALZONE,Calzone,1,0,visible,,,taxable,1,119,Subs & Sides,Momizza menu,,42,,,,,,Subs & Sides
simple,MOM-SUBS-SIDES-TACO,Taco,1,0,visible,,,taxable,1,119,Subs & Sides,Momizza menu,,43,,,,,,Subs & Sides
simple,MOM-SHAKES-DRINK-HOT-COFFEE,Hot Coffee,1,0,visible,,,taxable,1,69,Shakes & Drinks,Momizza menu,,44,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-VANILLA-SHAKE,Vanilla Shake,1,0,visible,,,taxable,1,89,Shakes & Drinks,Momizza menu,,45,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-COLD-COFFEE,Cold Coffee,1,0,visible,,,taxable,1,89,Shakes & Drinks,Momizza menu,,46,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-MANGO-SHAKE,Mango Shake,1,0,visible,,,taxable,1,99,Shakes & Drinks,Momizza menu,,47,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-STRAWBERRY-SHAKE,Strawberry Shake,1,0,visible,,,taxable,1,99,Shakes & Drinks,Momizza menu,,48,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-CHOCOLATE-SHAKE,Chocolate Shake,1,0,visible,,,taxable,1,99,Shakes & Drinks,Momizza menu,,49,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-OREO-SHAKE,Oreo Shake,1,0,visible,,,taxable,1,109,Shakes & Drinks,Momizza menu,,50,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-BUTTER-SCOTCH-SHAKE,Butter Scotch Shake,1,0,visible,,,taxable,1,109,Shakes & Drinks,Momizza menu,,51,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-SPECIAL-SHAKE,Special Shake,1,0,visible,,,taxable,1,119,Shakes & Drinks,Momizza menu,,52,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-COKE-GLASS,Coke Glass,1,0,visible,,,taxable,1,30,Shakes & Drinks,Momizza menu,,53,,,,,,Shakes & Drinks
simple,MOM-SHAKES-DRINK-COKE-PEPSI,Coke / Pepsi,1,0,visible,,,taxable,1,,Shakes & Drinks,Momizza menu,,54,,,,,MRP,Shakes & Drinks
simple,MOM-SHAKES-DRINK-FRUIT-DRINKS,Fruit Drinks,1,0,visible,,,taxable,1,,Shakes & Drinks,Momizza menu,,55,,,,,MRP,Shakes & Drinks
simple,MOM-SHAKES-DRINK-MINERAL-WATER,Mineral Water,1,0,visible,,,taxable,1,,Shakes & Drinks,Momizza menu,,56,,,,,MRP,Shakes & Drinks
simple,MOM-MOJITOS-MINT-MOJITO,Mint Mojito,1,0,visible,,,taxable,1,99,Mojitos,Momizza menu,,57,,,,,,Mojitos
simple,MOM-MOJITOS-GREEN-APPLE-MOJITO,Green Apple Mojito,1,0,visible,,,taxable,1,99,Mojitos,Momizza menu,,58,,,,,,Mojitos
simple,MOM-MOJITOS-STRAWBERRY-MOJITO,Strawberry Mojito,1,0,visible,,,taxable,1,99,Mojitos,Momizza menu,,59,,,,,,Mojitos
simple,MOM-MOJITOS-MANGO-MOJITO,Mango Mojito,1,0,visible,,,taxable,1,109,Mojitos,Momizza menu,,60,,,,,,Mojitos
simple,MOM-MOJITOS-MASALA-MANGO-MOJITO,Masala Mango Mojito,1,0,visible,,,taxable,1,109,Mojitos,Momizza menu,,61,,,,,,Mojitos
simple,MOM-MOJITOS-BLUE-CURACAO-MOJITO,Blue Curacao Mojito,1,0,visible,,,taxable,1,109,Mojitos,Momizza menu,,62,,,,,,Mojitos
simple,MOM-BREAD-DIPS-GARLIC-BREAD-TWISTED,Garlic Bread (Twisted),1,0,visible,,,taxable,1,89,Bread & Dips,Momizza menu,,63,,,,,,Bread & Dips
simple,MOM-BREAD-DIPS-STUFF-GARLIC-BREAD,Stuff Garlic Bread,1,0,visible,,,taxable,1,129,Bread & Dips,Momizza menu,,64,,,,,,Bread & Dips
simple,MOM-BREAD-DIPS-PANEER-STUFF-GARLIC-BREA,Paneer Stuff Garlic Bread,1,0,visible,,,taxable,1,139,Bread & Dips,Momizza menu,,65,,,,,,Bread & Dips
simple,MOM-BREAD-DIPS-CHEESY-DIP,Cheesy Dip,1,0,visible,,,taxable,1,25,Bread & Dips,Momizza menu,,66,,,,,,Bread & Dips
simple,MOM-BREAD-DIPS-SPICY-DIP,Spicy Dip,1,0,visible,,,taxable,1,25,Bread & Dips,Momizza menu,,67,,,,,,Bread & Dips
simple,MOM-BREAD-DIPS-CHILLY-DIP,Chilly Dip,1,0,visible,,,taxable,1,25,Bread & Dips,Momizza menu,,68,,,,,,Bread & Dips
simple,MOM-WRAPS-ITALIAN-WRAP,Italian Wrap,1,0,visible,,,taxable,1,99,Wraps,Momizza menu,,69,,,,,,Wraps
simple,MOM-WRAPS-CHEESY-WRAP,Cheesy Wrap,1,0,visible,,,taxable,1,109,Wraps,Momizza menu,,70,,,,,,Wraps
simple,MOM-WRAPS-SPICY-PANEER-WRAP,Spicy Paneer Wrap,1,0,visible,,,taxable,1,119,Wraps,Momizza menu,,71,,,,,,Wraps
simple,MOM-WRAPS-MAKHANI-PANEER-WRAP,Makhani Paneer Wrap,1,0,visible,,,taxable,1,119,Wraps,Momizza menu,,72,,,,,,Wraps
simple,MOM-DESSERTS-VANILLA-ICE-CREAM,Vanilla Ice Cream,1,0,visible,,,taxable,1,49,Desserts,Momizza menu,,73,,,,,,Desserts
simple,MOM-DESSERTS-CHOCOLATE-ICE-CREAM,Chocolate Ice Cream,1,0,visible,,,taxable,1,59,Desserts,Momizza menu,,74,,,,,,Desserts
simple,MOM-DESSERTS-STRAWBERRY-ICE-CREAM,Strawberry Ice Cream,1,0,visible,,,taxable,1,59,Desserts,Momizza menu,,75,,,,,,Desserts
simple,MOM-DESSERTS-CHOCOLATE-BROWNIE,Chocolate Brownie,1,0,visible,,,taxable,1,109,Desserts,Momizza menu,,76,,,,,,Desserts
simple,MOM-MOMOS-VEG-MOMO,Veg Momo,1,0,visible,,,taxable,1,100,Momos,Momizza menu,,77,,,,,,Momos
simple,MOM-MOMOS-PANEER-MOMO,Paneer Momo,1,0,visible,,,taxable,1,140,Momos,Momizza menu,,78,,,,,,Momos
simple,MOM-MOMOS-CHEESE-MOMO,Cheese Momo,1,0,visible,,,taxable,1,150,Momos,Momizza menu,,79,,,,,,Momos
simple,MOM-MOMOS-JHOL-MOMO,Jhol Momo,1,0,visible,,,taxable,1,200,Momos,Momizza menu,,80,,,,,,Momos
simple,MOM-MOMOS-KURKURE-MOMO,Kurkure Momo,1,0,visible,,,taxable,1,200,Momos,Momizza menu,,81,,,,,,Momos
simple,MOM-MOMOS-CHEESE-KURKURE-MOMO,Cheese Kurkure Momo,1,0,visible,,,taxable,1,225,Momos,Momizza menu,,82,,,,,,Momos
simple,MOM-PAN-PASTAS-WHITE-SAUCE-PASTA,White Sauce Pasta,1,0,visible,,,taxable,1,240,Pan Pastas,Momizza menu,,83,,,,,,Pan Pastas
simple,MOM-PAN-PASTAS-RED-SAUCE-PASTA,Red Sauce Pasta,1,0,visible,,,taxable,1,249,Pan Pastas,Momizza menu,,84,,,,,,Pan Pastas
simple,MOM-PAN-PASTAS-MIX-PASTA,Mix Pasta,1,0,visible,,,taxable,1,249,Pan Pastas,Momizza menu,,85,,,,,,Pan Pastas
simple,MOM-PAN-PASTAS-CHEESE-PASTA,Cheese Pasta,1,0,visible,,,taxable,1,299,Pan Pastas,Momizza menu,,86,,,,,,Pan Pastas
simple,MOM-MANCHURIAN-R-DRY-MANCHURIAN,Dry Manchurian,1,0,visible,,,taxable,1,159,"Manchurian, Rice & Noodles",Momizza menu,,87,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-MANCHURIAN-R-SEMI-GRAVY-MANCHURIAN,Semi Gravy Manchurian,1,0,visible,,,taxable,1,169,"Manchurian, Rice & Noodles",Momizza menu,,88,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-MANCHURIAN-R-GRAVY-MANCHURIAN,Gravy Manchurian,1,0,visible,,,taxable,1,189,"Manchurian, Rice & Noodles",Momizza menu,,89,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-MANCHURIAN-R-VEG-FRIED-RICE,Veg Fried Rice,1,0,visible,,,taxable,1,159,"Manchurian, Rice & Noodles",Momizza menu,,90,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-MANCHURIAN-R-SCHEZWAN-FRIED-RICE,Schezwan Fried Rice,1,0,visible,,,taxable,1,189,"Manchurian, Rice & Noodles",Momizza menu,,91,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-MANCHURIAN-R-PANEER-FRIED-RICE,Paneer Fried Rice,1,0,visible,,,taxable,1,199,"Manchurian, Rice & Noodles",Momizza menu,,92,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-MANCHURIAN-R-VEG-HAKKA-NOODLES,Veg Hakka Noodles,1,0,visible,,,taxable,1,159,"Manchurian, Rice & Noodles",Momizza menu,,93,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-MANCHURIAN-R-SCHEZWAN-VEG-NOODLES,Schezwan Veg Noodles,1,0,visible,,,taxable,1,169,"Manchurian, Rice & Noodles",Momizza menu,,94,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-MANCHURIAN-R-PANEER-NOODLES,Paneer Noodles,1,0,visible,,,taxable,1,189,"Manchurian, Rice & Noodles",Momizza menu,,95,,,,,,"Manchurian, Rice & Noodles"
simple,MOM-ROLLS-VEG-ROLL,Veg Roll,1,0,visible,,,taxable,1,80,Rolls,Momizza menu,,96,,,,,,Rolls
simple,MOM-ROLLS-SPRING-ROLL,Spring Roll,1,0,visible,,,taxable,1,90,Rolls,Momizza menu,,97,,,,,,Rolls
simple,MOM-ROLLS-CHEESE-ROLL,Cheese Roll,1,0,visible,,,taxable,1,110,Rolls,Momizza menu,,98,,,,,,Rolls
simple,MOM-ROLLS-PANEER-ROLL,Paneer Roll,1,0,visible,,,taxable,1,120,Rolls,Momizza menu,,99,,,,,,Rolls
simple,MOM-ROLLS-CHEESE-PANEER-ROLL,Cheese Paneer Roll,1,0,visible,,,taxable,1,140,Rolls,Momizza menu,,100,,,,,,Rolls
simple,MOM-SNACKS-CHILI-POTATO,Chili Potato,1,0,visible,,,taxable,1,149,Snacks,Momizza menu,,101,,,,,,Snacks
simple,MOM-SNACKS-HONEY-CHILI-POTATO,Honey Chili Potato,1,0,visible,,,taxable,1,179,Snacks,Momizza menu,,102,,,,,,Snacks
simple,MOM-SNACKS-CHILI-PANEER,Chili Paneer,1,0,visible,,,taxable,1,189,Snacks,Momizza menu,,103,,,,,,Snacks
simple,MOM-SNACKS-CHEESE-CHILI,Cheese Chili,1,0,visible,,,taxable,1,199,Snacks,Momizza menu,,104,,,,,,Snacks
simple,MOM-SNACKS-HONEY-CHILI-CAULIFLOWER,Honey Chili Cauliflower,1,0,visible,,,taxable,1,,Snacks,Momizza menu,,105,,,,,—,Snacks
simple,MOM-COMBOS-VEG-FRIED-RICE-MANCHURIA,Veg Fried Rice + Manchurian,1,0,visible,,,taxable,1,229,Combos,Momizza menu,,106,,,,,,Combos
simple,MOM-COMBOS-SCHEZWAN-RICE-MANCHURIAN,Schezwan Rice + Manchurian,1,0,visible,,,taxable,1,249,Combos,Momizza menu,,107,,,,,,Combos
simple,MOM-COMBOS-HONEY-CHILI-POTATO-VEG-F,Honey Chili Potato + Veg Fried Rice,1,0,visible,,,taxable,1,259,Combos,Momizza menu,,108,,,,,,Combos
simple,MOM-COMBOS-CHEESE-CHILI-FRIED-RICE,Cheese Chili + Fried Rice,1,0,visible,,,taxable,1,269,Combos,Momizza menu,,109,,,,,,Combos
simple,MOM-COMBOS-CHILI-PANEER-FRIED-RICE,Chili Paneer + Fried Rice,1,0,visible,,,taxable,1,269,Combos,Momizza menu,,110,,,,,,Combos
